,RUN,N_COMPONENTS,TOPICS_THRESHOLD,NEIGHBORS,QUANTILE_THRESHOLD,orig_avg_accuracy,nmf_avg_accuracy,lda_avg_accuracy,lda_w2v_avg_accuracy,nmf_avg_tags_number_accuracy,lda_avg_tags_number_accuracy,lda_w2v_avg_tags_number_accuracy,nmf_global_accuracy,lda_global_accuracy,lda_global_avg_accuracy,orig_med_accuracy,nmf_med_accuracy,lda_med_accuracy,lda_w2v_med_accuracy,orig_avg_tags_number,nmf_avg_tags_number,lda_avg_tags_number,lda_w2v_avg_tags_number,orig_med_tags_number,nmf_med_tags_number,lda_med_tags_number,lda_w2v_med_tags_number
10,10,10,0.1,10,0.75,0.5321383647798742,0.6083396226415094,0.5968805031446541,0.6838490566037735,0.4900277810848439,0.48429436778616897,0.47222415690456593,0.5689023421226209,0.5593517913584924,0.6133074233707043,0.5321383647798742,0.6083396226415094,0.5968805031446541,0.6838490566037735,2.1192452830188677,10.126037735849057,10.332075471698113,11.464905660377358,2.0,10.0,11.0,11.0
11,11,10,0.1,10,0.8,0.5321383647798742,0.5999748427672955,0.596251572327044,0.6693207547169812,0.5054726857587345,0.4873538493300235,0.4878711656724807,0.5684741237644418,0.5599523313280371,0.6088375583688143,0.5321383647798742,0.5999748427672955,0.596251572327044,0.6693207547169812,2.1192452830188677,8.993962264150943,10.012075471698113,9.889056603773584,2.0,8.0,11.0,9.0
12,12,10,0.1,15,0.75,0.5321383647798742,0.6260125786163522,0.6109056603773585,0.6901761006289309,0.4651360799025761,0.4555605397015953,0.45278931465648753,0.5723870790450934,0.5591239534854374,0.6110471719714498,0.5321383647798742,0.6260125786163522,0.6109056603773585,0.6901761006289309,2.1192452830188677,12.172075471698113,13.766792452830188,13.486037735849056,2.0,11.0,16.0,13.0
13,13,10,0.1,15,0.8,0.5321383647798742,0.6124276729559749,0.60937106918239,0.6786037735849056,0.47818710722087,0.45920200468378136,0.46496227494725473,0.5676808177109399,0.5593147143495205,0.6073899407056887,0.5321383647798742,0.6124276729559749,0.60937106918239,0.6786037735849056,2.1192452830188677,10.546415094339622,13.211320754716981,11.553962264150943,2.0,10.0,15.0,11.0
14,14,10,0.1,20,0.75,0.5321383647798742,0.6373584905660378,0.6366163522012579,0.7028176100628931,0.447903905016123,0.4369973608676511,0.44081326847200614,0.5742069620493995,0.570076688423389,0.6154828295325975,0.5321383647798742,0.6373584905660378,0.6366163522012579,0.7028176100628931,2.1192452830188677,13.835471698113208,17.20679245283019,15.038490566037735,2.0,13.0,20.0,14.0
15,15,10,0.1,20,0.8,0.5321383647798742,0.6245031446540881,0.6360880503144655,0.6906163522012579,0.4621999995250668,0.43972803059172294,0.45454050724270156,0.5704020962777476,0.5706347104068846,0.6119244038817392,0.5321383647798742,0.6245031446540881,0.6360880503144655,0.6906163522012579,2.1192452830188677,11.928301886792452,16.523018867924527,12.73056603773585,2.0,11.0,19.0,12.0
16,16,10,0.15000000000000002,5,0.75,0.5321383647798742,0.5929559748427673,0.5597735849056604,0.6503396226415095,0.5478665828578704,0.544396970254871,0.5323447930123777,0.5779261775144683,0.5546480466887306,0.6110080127651322,0.5321383647798742,0.5929559748427673,0.5597735849056604,0.6503396226415095,2.1192452830188677,6.968301886792453,6.28377358490566,7.390943396226415,2.0,7.0,6.0,7.0
17,17,10,0.15000000000000002,5,0.8,0.5321383647798742,0.5840251572327043,0.5593962264150943,0.6355345911949685,0.5638122360202076,0.5453196706093915,0.5510725717186471,0.5772875168285387,0.5547040411465267,0.6073805847028614,0.5321383647798742,0.5840251572327043,0.5593962264150943,0.6355345911949685,2.1192452830188677,6.422641509433962,6.2181132075471695,6.579622641509434,2.0,6.0,6.0,6.0
18,18,10,0.15000000000000002,10,0.75,0.5321383647798742,0.6004905660377359,0.5924779874213836,0.6645408805031446,0.5079557797145907,0.5014126347705666,0.49096272840547756,0.5696456372633542,0.5621228698711113,0.606681496470589,0.5321383647798742,0.6004905660377359,0.5924779874213836,0.6645408805031446,2.1192452830188677,8.965283018867925,9.539622641509434,9.695094339622642,2.0,8.0,11.0,9.0
19,19,10,0.15000000000000002,10,0.8,0.5321383647798742,0.5914339622641509,0.5924779874213836,0.6531320754716982,0.5248434619654728,0.5028190704639655,0.5074881377166013,0.5692371288312582,0.5625916817689108,0.6045840962199992,0.5321383647798742,0.5914339622641509,0.5924779874213836,0.6531320754716982,2.1192452830188677,7.967547169811321,9.409056603773585,8.470943396226415,2.0,7.0,11.0,8.0
20,20,10,0.15000000000000002,15,0.75,0.5321383647798742,0.6112704402515724,0.6051823899371069,0.6706792452830189,0.48233422682028704,0.4776206141289108,0.4693498065644743,0.5682917024411439,0.5626617980010415,0.6035694323768374,0.5321383647798742,0.6112704402515724,0.6051823899371069,0.6706792452830189,2.1192452830188677,10.581132075471698,12.710188679245283,11.164528301886792,2.0,10.0,15.0,11.0
21,21,10,0.15000000000000002,15,0.8,0.5321383647798742,0.6012075471698113,0.6040503144654088,0.6612452830188679,0.4970071408032637,0.48074810775608606,0.4839243217422291,0.5664740783809621,0.5629495788956346,0.6021382959266549,0.5321383647798742,0.6012075471698113,0.6040503144654088,0.6612452830188679,2.1192452830188677,9.221132075471699,12.276226415094339,9.772075471698113,2.0,8.0,14.0,9.0
